Category,Example Text,Foreground,,Background,,Extra,Foreground,,,Background,,,Foreground (RGB for OSX),,,Backgroundground (RGB for OSX),,,""".""A9""{color:#""C9"";background:#""E9"";font-weight:""""",ec,236
,,Hex, RGB ,Hex,RGB,,RGB(R),RGB(G),RGB(G),RGB(R),RGB(G),RGB(G),RGB(R),RGB(G),RGB(G),RGB(R),RGB(G),RGB(G),,,
String,String,CC9393," 204,147,147 ",,,,204,147,147,,,,0.8000,0.5765,0.5765,,,,,,
Structure,Structure,EFEFAF," 239,239,175 ",,,bold,239,239,175,,,,0.9373,0.9373,0.6863,,,,,,
Tag,Tag,E89393," 232,147,147 ",,,bold,232,147,147,,,,0.9098,0.5765,0.5765,,,,,,
Title,Title,EFEFEF," 239,239,239 ",,,bold,239,239,239,,,,0.9373,0.9373,0.9373,,,,,,
Todo,Todo,DFDFDF," 223,223,223 ",,,bold,223,223,223,,,,0.8745,0.8745,0.8745,,,,,,
Typedef,Typedef,DFE4CF," 223,228,207 ",,,bold,223,228,207,,,,0.8745,0.8941,0.8118,,,,,,
Type,Type,DFDFBF," 223,223,191 ",,,bold,223,223,191,,,,0.8745,0.8745,0.7490,,,,,,
Underlined,Underlined,DCDCCC," 220,220,204 ",,,underline,220,220,204,,,,0.8627,0.8627,0.8000,,,,,,
VertSplit,VertSplit,303030," 48,48,48 ",688060,"104,128,96",,48,48,48,104,128,96,0.1882,0.1882,0.1882,0.4078,0.5020,0.3765,,,
VisualNOS,VisualNOS,333333," 51,51,51 ",F18C96,"241,140,150","bold, underline",51,51,51,241,140,150,0.2000,0.2000,0.2000,0.9451,0.5490,0.5882,,,
WarningMsg,WarningMsg,FFFFFF," 255,255,255 ",333333,"51,51,51",bold,255,255,255,51,51,51,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,,,
WildMenu,WildMenu,DCA3A3," 220,163,163 ",2C302D,"44,48,45",underline,220,163,163,44,48,45,0.8627,0.6392,0.6392,0.1725,0.1882,0.1765,,,
,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,,
BY C BETANCOURT ON 05.07.08 18:17,,,,,,,,,,,,,,,,,,,,,
http://spreadsheets.google.com/ccc?key=pKLGtBDTfcpZoRtJFr_eeAg&hl=en,,,,,,,,,,,,,,,,,,,,,
